# Value|Frequency
701+HOLLOW+N+SLEEPY|2132
AVE+FRANKLIN+NY+VALLEY|3117
05+AVE+NY+PARK|4233
10591+BROADWAY+N+SLEEPY|2709
AVE+NEW+NORTH+PARK|3294
11803+888+COUNTRY+OLD|2682
11040+AVE+NEW+PARK|15550
05+11040+AVE+HYDE|4180
10021+E+NEW+YORK|2399
LAKEVILLE+NEW+NY+RD|3054
11706+E+SHORE+ST|5599
76TH+AVE+NY+PARK|15367
BLVD+GREAT+NORTHERN+NY|3350
888+NY+PLAINVIEW+RD|2683
11706+E+NY+ST|6130
10549+400+E+MAIN|2233
26901+76TH+AVE+NY|2813
11901+AVE+NY+RIVERHEAD|2112
270+76TH+AVE+PARK|4196
77TH+NEW+ST+YORK|9683
10549+E+KISCO+MAIN|2287
11791+221+JERICHO+SYOSSET|2315
27005+76TH+HYDE+PARK|7853
11040+26901+NEW+PARK|2813
11021+NECK+NORTHERN+NY|3324
301+E+NY+SHORE|4869
10305+475+ISLAND+STATEN|7157
300+COMMUNITY+MANHASSET+NY|12551
11040+270+76TH+AVE|4151
100+10075+NEW+NY|8219
100+10075+NEW+ST|8212
10591+701+NY+SLEEPY|2133
10549+400+MAIN+MOUNT|2167
05+AVE+NEW+PARK|4231
77TH+NEW+NY+ST|9686
11040+26901+76TH+PARK|2813
77TH+NY+ST+YORK|9683
05+270+76TH+PARK|4200
BAY+MAIN+SHORE+ST|5625
11580+900+NY+STREAM|3056
11042+HYDE+LAKEVILLE+NEW|2616
05+11040+76TH+NY|4158
BAY+E+MAIN+NY|5608
26901+76TH+NEW+PARK|2813
BAY+E+MAIN+ST|5606
11021+BLVD+GREAT+NORTHERN|3317
COUNTRY+OLD+PLAINVIEW+RD|3403
11706+301+E+SHORE|4856
E+KISCO+MAIN+NY|2291
888+NY+OLD+PLAINVIEW|2683
E+KISCO+MAIN+ST|2291
301+BAY+MAIN+NY|4866
11803+888+NY+RD|2684
27005+AVE+HYDE+NEW|7854
27005+76TH+AVE+NY|7853
301+BAY+MAIN+ST|4865
05+HYDE+NEW+NY|4259
HYDE+NEW+PARK+RD|3385
5051+NEW+NY+YORK|4024
05+270+76TH+AVE|4189
11791+JERICHO+NY+SYOSSET|2462
BAY+E+MAIN+SHORE|5606
76TH+HYDE+NEW+NY|15398
900+AVE+NY+VALLEY|3055
11021+GREAT+NORTHERN+NY|3324
11580+900+AVE+VALLEY|3052
11040+27005+AVE+HYDE|7853
26901+AVE+NEW+NY|2813
77TH+E+ST+YORK|9662
05+AVE+HYDE+NY|4231
11042+LAKEVILLE+NY+PARK|2613
26901+76TH+NY+PARK|2813
COMMUNITY+DR+MANHASSET+NY|16748
270+AVE+NY+PARK|8356
27005+76TH+AVE+PARK|7853
100+10075+NY+YORK|8218
05+76TH+NEW+NY|4209
11580+AVE+NY+STREAM|3217
11042+NY+PARK+RD|2876
76TH+AVE+HYDE+NY|15366
100+E+NEW+YORK|8634
10549+E+KISCO+MOUNT|2131
10065+NEW+ST+YORK|2500
11030+COMMUNITY+DR+NY|15277
11580+900+FRANKLIN+STREAM|3052
10075+E+NEW+NY|9688
10075+E+NEW+ST|9680
27005+76TH+HYDE+NEW|7853
NEW+NY+W+YORK|2871
11580+NY+STREAM+VALLEY|3341
11040+27005+76TH+HYDE|7852
301+BAY+SHORE+ST|4868
BROADWAY+HOLLOW+N+SLEEPY|2709
11042+HYDE+MARCUS+NEW|4575
900+FRANKLIN+STREAM+VALLEY|3053
05+AVE+HYDE+PARK|4230
475+AVE+ISLAND+NY|7181
101+COVE+GLEN+LN|2457
101+COVE+GLEN+NY|2469
ANDREWS+COVE+GLEN+LN|2091
10021+E+NY+ST|2386
ANDREWS+COVE+GLEN+NY|2096
05+11040+76TH+PARK|4152
11040+270+NEW+PARK|4231
10549+KISCO+MOUNT+NY|2903
11040+270+HYDE+PARK|4230
11803+COUNTRY+OLD+PLAINVIEW|3404
10549+KISCO+MOUNT+ST|2288
11375+FOREST+NY+RD|3382
26901+AVE+NY+PARK|2813
270+76TH+NEW+NY|4227
AVE+NY+SEAVIEW+STATEN|8022
10305+AVE+ISLAND+NY|9178
11040+76TH+AVE+NEW|15298
BROADWAY+HOLLOW+NY+SLEEPY|2709
10305+475+AVE+NY|7149
301+NY+SHORE+ST|4868
270+HYDE+NEW+NY|4289
11042+MARCUS+NY+PARK|4575
11042+LAKEVILLE+PARK+RD|2611
888+COUNTRY+NY+RD|2683
11042+HYDE+LAKEVILLE+PARK|2613
900+FRANKLIN+NY+STREAM|3055
05+270+NEW+PARK|4255
10065+E+NEW+YORK|2501
HYDE+NEW+NORTH+NY|5405
HOLLOW+N+NY+SLEEPY|2721
11040+27005+AVE+NEW|7853
11803+COUNTRY+OLD+RD|3405
11743+270+AVE+HUNTINGTON|4244
300+COMMUNITY+DR+MANHASSET|12546
900+NY+STREAM+VALLEY|3057
05+270+NEW+NY|4261
11040+26901+NY+PARK|2813
11706+301+MAIN+NY|5287
11706+301+MAIN+ST|5285
270+AVE+HYDE+NY|4260
11021+GREAT+NECK+NORTHERN|3324
AVE+HYDE+NEW+NY|20002
10549+E+MOUNT+NY|2131
KISCO+MAIN+MOUNT+NY|2291
900+AVE+FRANKLIN+VALLEY|3052
10549+E+MOUNT+ST|2130
10305+475+AVE+STATEN|7149
KISCO+MAIN+MOUNT+ST|2291
100+10075+77TH+YORK|7987
11375+FOREST+HILLS+NY|4409
05+76TH+AVE+NEW|4182
11375+FOREST+HILLS+RD|3382
10087+5051+NEW+POBOX|3740
E+MOUNT+NY+ST|2133
KISCO+MAIN+NY+ST|2494
11706+301+E+NY|5285
11706+301+E+ST|5283
475+AVE+NY+STATEN|7180
11901+AVE+NY+ROANOKE|2063
11042+HYDE+NEW+NORTH|5399
10021+NEW+ST+YORK|2406
AVE+NY+RIVERHEAD+ROANOKE|2062
LAKEVILLE+NEW+NY+PARK|3052
27005+HYDE+NY+PARK|7854
701+HOLLOW+NY+SLEEPY|2133
26901+76TH+HYDE+NY|2814
10075+77TH+ST+YORK|9163
11040+270+AVE+NEW|4207
05+NEW+NY+PARK|4259
05+11040+270+HYDE|4202
270+76TH+NEW+PARK|4221
11042+HYDE+NEW+PARK|9056
11706+BAY+E+MAIN|5597
27005+AVE+NY+PARK|7854
26901+76TH+NEW+NY|2814
ISLAND+NY+SEAVIEW+STATEN|8030
11803+NY+OLD+PLAINVIEW|3406
76TH+NEW+NY+PARK|15397
77TH+E+NEW+NY|9670
100+10075+77TH+E|7991
77TH+E+NEW+ST|9663
10305+AVE+NY+STATEN|9178
MARCUS+NORTH+NY+PARK|3293
11803+NY+OLD+RD|3407
11706+301+SHORE+ST|4860
701+N+NY+SLEEPY|2133
77TH+E+NEW+YORK|9669
10549+E+MAIN+NY|2287
10549+E+MAIN+ST|2287
10591+701+HOLLOW+N|2173
26901+HYDE+NEW+NY|2814
888+COUNTRY+OLD+PLAINVIEW|2681
10021+NEW+NY+ST|2406
05+76TH+HYDE+PARK|4202
26901+AVE+HYDE+NEW|2813
701+BROADWAY+HOLLOW+NY|2163
AVE+HYDE+MARCUS+NY|4683
11706+301+BAY+NY|4861
11706+301+BAY+ST|4860
11375+HILLS+NY+RD|3382
400+E+MAIN+MOUNT|2082
701+HOLLOW+N+NY|2175
AVE+MARCUS+NEW+PARK|4684
10075+E+NY+YORK|9687
HYDE+MARCUS+NY+PARK|4688
11040+270+76TH+HYDE|4169
26901+AVE+HYDE+NY|2813
